,Unnamed: 0,index,condition,image_index,key_press,rt,response,stimulus_side,prioritization_cue,subject,side,run,coherency,prioritization,category
271,278,56,3.0,49.0,1.0,0.591353401960077,1.0,0,left,17,inside,2,low,yes,car
272,279,57,1.0,13.0,1.0,0.488947415953589,1.0,0,left,17,inside,2,high,yes,car
273,280,58,2.0,1.0,1.0,0.6901553276329649,1.0,1,double,17,inside,2,high,no,car
274,281,59,1.0,28.0,2.0,0.625794465559011,1.0,1,right,17,inside,2,high,yes,face
275,282,60,4.0,69.0,1.0,0.6575489472852499,0.0,1,double,17,inside,2,low,no,face
276,283,61,3.0,68.0,2.0,0.8964462982439729,1.0,1,right,17,inside,2,low,yes,face
277,284,62,3.0,69.0,1.0,0.6002780681083101,0.0,0,left,17,inside,2,low,yes,face
278,285,63,2.0,22.0,2.0,0.606711610635102,1.0,1,double,17,inside,2,high,no,face
279,286,64,2.0,30.0,1.0,1.3108824384798945,0.0,0,double,17,inside,2,high,no,face
280,287,65,3.0,47.0,1.0,0.6512434619835401,1.0,1,right,17,inside,2,low,yes,car
281,288,66,4.0,71.0,1.0,0.6027885504590811,0.0,1,double,17,inside,2,low,no,face
282,289,67,2.0,4.0,1.0,0.744313197948941,1.0,1,double,17,inside,2,high,no,car
283,290,68,1.0,22.0,2.0,0.623324355154182,1.0,1,right,17,inside,2,high,yes,face
